#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000281275.1	PRJNA224116	SAMN01057607	AJZX00000000.1	na	1087444	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH5	strain=KPNIH5		latest	Contig	Major	Full	2012/07/24	KPNIH5_1	NIH Intramural Sequencing Center	GCA_000281275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/275/GCF_000281275.1_KPNIH5_1		
GCF_000281295.1	PRJNA224116	SAMN01057608	AJZY00000000.1	na	1087445	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH6	strain=KPNIH6		latest	Contig	Major	Full	2012/07/24	KPNIH6_1	NIH Intramural Sequencing Center	GCA_000281295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/295/GCF_000281295.1_KPNIH6_1		
GCF_000281315.1	PRJNA224116	SAMN01057613	AKAB00000000.1	na	1094169	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH9	strain=KPNIH9		latest	Contig	Major	Full	2012/07/24	KPNIH9_1	NISC	GCA_000281315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/315/GCF_000281315.1_KPNIH9_1		
GCF_000281335.1	PRJNA224116	SAMN01057621	AKAE00000000.1	na	1128946	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH12	strain=KPNIH12		latest	Contig	Major	Full	2012/07/24	KPNIH12_1	NISC	GCA_000281335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/335/GCF_000281335.1_KPNIH12_1		
GCF_000281355.1	PRJNA224116	SAMN01057646	AKAH00000000.1	na	1128951	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH17	strain=KPNIH17		latest	Contig	Major	Full	2012/07/24	KPNIH17_1	NISC	GCA_000281355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/355/GCF_000281355.1_KPNIH17_1		
GCF_000281375.1	PRJNA224116	SAMN01057650	AKAK00000000.1	na	1128954	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH20	strain=KPNIH20		latest	Contig	Major	Full	2012/07/24	KPNIH20_1	NISC	GCA_000281375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/375/GCF_000281375.1_KPNIH20_1		
GCF_000281395.1	PRJNA224116	SAMN01057606	AJZW00000000.1	na	1087443	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH4	strain=KPNIH4		latest	Contig	Major	Full	2012/07/24	KPNIH4_1	NIH Intramural Sequencing Center	GCA_000281395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/395/GCF_000281395.1_KPNIH4_1		
GCF_000281415.1	PRJNA224116	SAMN01057711	AJZZ00000000.1	na	1094167	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH7	strain=KPNIH7		latest	Contig	Major	Full	2012/07/24	KPNIH7_1	NISC	GCA_000281415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/415/GCF_000281415.1_KPNIH7_1		
GCF_000281435.2	PRJNA224116	SAMN01057614		na	1094170	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	strain=KPNIH10		latest	Complete Genome	Major	Full	2014/05/27	ASM28143v2	NISC	GCA_000281435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/435/GCF_000281435.2_ASM28143v2		
GCF_000281455.1	PRJNA224116	SAMN01057640	AKAF00000000.1	na	1128948	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH14	strain=KPNIH14		latest	Contig	Major	Full	2012/07/24	KPNIH14_1	NISC	GCA_000281455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/455/GCF_000281455.1_KPNIH14_1		
GCF_000281475.1	PRJNA224116	SAMN01057635	AKAI00000000.1	na	1128952	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH18	strain=KPNIH18		latest	Contig	Major	Full	2012/07/24	KPNIH18_1	NISC	GCA_000281475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/475/GCF_000281475.1_KPNIH18_1		
GCF_000281495.1	PRJNA224116	SAMN01057652	AKAL00000000.1	na	1168062	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH21	strain=KPNIH21		latest	Contig	Major	Full	2012/07/24	KPNIH21_1	NISC	GCA_000281495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/495/GCF_000281495.1_KPNIH21_1		
GCF_000281515.1	PRJNA224116	SAMN01057658	AKAM00000000.1	na	1168063	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH22	strain=KPNIH22		latest	Contig	Major	Full	2012/07/24	KPNIH22_1	NISC	GCA_000281515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/515/GCF_000281515.1_KPNIH22_1		
GCF_000281535.2	PRJNA224116	SAMN01057611		na	1087440	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	strain=KPNIH1		latest	Complete Genome	Major	Full	2014/07/02	ASM28153v2	NIH Intramural Sequencing Center	GCA_000281535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/535/GCF_000281535.2_ASM28153v2		
GCF_000281555.1	PRJNA224116	SAMN01057612	AKAA00000000.1	na	1094168	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH8	strain=KPNIH8		latest	Contig	Major	Full	2012/07/24	KPNIH8_1	NISC	GCA_000281555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/555/GCF_000281555.1_KPNIH8_1		
GCF_000281575.1	PRJNA224116	SAMN01057620	AKAD00000000.1	na	1094171	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH11	strain=KPNIH11		latest	Contig	Major	Full	2012/07/24	KPNIH11_1	NISC	GCA_000281575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/575/GCF_000281575.1_KPNIH11_1		
GCF_000281595.1	PRJNA224116	SAMN01057641	AKAG00000000.1	na	1128950	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH16	strain=KPNIH16		latest	Contig	Major	Full	2012/07/24	KPNIH16_1	NISC	GCA_000281595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/595/GCF_000281595.1_KPNIH16_1		
GCF_000281615.1	PRJNA224116	SAMN01057638	AKAJ00000000.1	na	1128953	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH19	strain=KPNIH19		latest	Contig	Major	Full	2012/07/24	KPNIH19_1	NISC	GCA_000281615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/615/GCF_000281615.1_KPNIH19_1		
GCF_000281635.1	PRJNA224116	SAMN01057657	AKAN00000000.1	na	1168064	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH23	strain=KPNIH23		latest	Contig	Major	Full	2012/07/24	KPNIH23_1	NISC	GCA_000281635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/635/GCF_000281635.1_KPNIH23_1		
GCF_000281755.1	PRJNA224116	SAMN02470063	AJJI00000000.1	na	1162296	573	Klebsiella pneumoniae subsp. pneumoniae DSM 30104	strain=DSM 30104		latest	Contig	Major	Full	2012/07/26	KlePneDSM30104	International Vaccine Institute	GCA_000281755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/755/GCF_000281755.1_KlePneDSM30104		assembly from type material
GCF_000283455.1	PRJNA224116	SAMN01090251	ALIS00000000.1	na	1212766	573	Klebsiella pneumoniae subsp. pneumoniae ST258-490	strain=ST258-490		latest	Contig	Major	Full	2012/08/07	KlebKpneumoniae_ST258_1.0	Tel Aviv Sourasky Medical center	GCA_000283455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/455/GCF_000283455.1_KlebKpneumoniae_ST258_1.0		
GCF_000294365.1	PRJNA224116	SAMN02603641		na	1193292	573	Klebsiella pneumoniae subsp. pneumoniae 1084	strain=1084		latest	Complete Genome	Major	Full	2012/08/29	ASM29436v1	National Chung Hsing University	GCA_000294365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/365/GCF_000294365.1_ASM29436v1		
GCF_000300655.1	PRJNA224116	SAMN02463956	AMLL00000000.1	na	1203544	573	Klebsiella pneumoniae subsp. pneumoniae WGLW1	strain=WGLW1		latest	Scaffold	Major	Full	2012/10/02	Kleb_pneu_WGLW1_V1	Broad Institute	GCA_000300655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/655/GCF_000300655.1_Kleb_pneu_WGLW1_V1		
GCF_000300675.1	PRJNA224116	SAMN02463957	AMLM00000000.1	na	1203545	573	Klebsiella pneumoniae subsp. pneumoniae WGLW2	strain=WGLW2		latest	Scaffold	Major	Full	2012/10/02	Kleb_pneu_WGLW2_V1	Broad Institute	GCA_000300675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/675/GCF_000300675.1_Kleb_pneu_WGLW2_V1		
GCF_000300735.3	PRJNA224116	SAMN01731171	AMRH00000000.2	na	1232392	573	Klebsiella pneumoniae subsp. pneumoniae KpO3210	strain=KpO3210		latest	Scaffold	Major	Full	2017/11/06	ASM30073v3	BIOMOL-INFORMATICS S.L.	GCA_000300735.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/735/GCF_000300735.3_ASM30073v3		
GCF_000300835.1	PRJNA224116	SAMN02469893	AMSU00000000.1	na	1226115	573	Klebsiella pneumoniae subsp. pneumoniae KpQ3	strain=KpQ3		latest	Scaffold	Major	Full	2012/10/02	K1_1	ohnosequences! research group, Era7 Bioinformatics	GCA_000300835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/835/GCF_000300835.1_K1_1		
GCF_000300935.1	PRJNA224116	SAMN02463958	AMLN00000000.1	na	1203546	573	Klebsiella pneumoniae subsp. pneumoniae WGLW3	strain=WGLW3		latest	Scaffold	Major	Full	2012/10/02	Kleb_pneu_WGLW3_V1	Broad Institute	GCA_000300935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/935/GCF_000300935.1_Kleb_pneu_WGLW3_V1		
GCF_000300955.1	PRJNA224116	SAMN02463959	AMLO00000000.1	na	1203547	573	Klebsiella pneumoniae subsp. pneumoniae WGLW5	strain=WGLW5		latest	Scaffold	Major	Full	2012/10/02	Kleb_pneu_WGLW5_V1	Broad Institute	GCA_000300955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/955/GCF_000300955.1_Kleb_pneu_WGLW5_V1		
GCF_000309505.2	PRJNA224116	SAMEA2272049	CAJM00000000.2	na	1185418	573	Klebsiella pneumoniae subsp. pneumoniae ST512-K30BO	strain=ST512-K30BO		latest	Contig	Major	Full	2012/12/04	ASM30950v2	UNIMI	GCA_000309505.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/309/505/GCF_000309505.2_ASM30950v2		
GCF_000313365.1	PRJNA224116	SAMEA2272030	CANS00000000.1	na	1185420	573	Klebsiella pneumoniae subsp. pneumoniae ST258-K28BO	strain=ST258-K28BO		latest	Contig	Major	Full	2012/10/29	ASM31336v1	UNIMI	GCA_000313365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/365/GCF_000313365.1_ASM31336v1		
GCF_000313465.1	PRJNA224116	SAMEA2272556	CANR00000000.1	na	1185419	573	Klebsiella pneumoniae subsp. pneumoniae ST258-K26BO	strain=ST258-K26BO		latest	Contig	Major	Full	2012/10/29	ASM31346v1	UNIMI	GCA_000313465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/465/GCF_000313465.1_ASM31346v1		
GCF_000315385.1	PRJNA224116	SAMEA2272247	CANH00000000.1	na	1226680	573	Klebsiella pneumoniae subsp. pneumoniae Ecl8	strain=Ecl8		latest	Scaffold	Major	Full	2012/11/14	ASM31538v1	WTSI	GCA_000315385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/385/GCF_000315385.1_ASM31538v1		
GCF_000316245.2	PRJNA224116	SAMN01939167	ANGI00000000.2	na	1236102	573	Klebsiella pneumoniae VA360	strain=VA360		latest	Contig	Major	Full	2013/03/13	MTE2_ImprovedAssembly	Los Alamos National Laboratory	GCA_000316245.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/245/GCF_000316245.2_MTE2_ImprovedAssembly		
GCF_000316265.2	PRJNA224116	SAMN01939166	ANGH00000000.2	na	1236101	573	Klebsiella pneumoniae JHCK1	strain=JHCK1		latest	Contig	Major	Full	2013/03/08	MTE1_ImprovedAssembly	Los Alamos National Laboratory	GCA_000316265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/316/265/GCF_000316265.2_MTE1_ImprovedAssembly		
GCF_000338255.1	PRJNA224116	SAMN02471933	AOIZ00000000.1	na	1267897	573	Klebsiella pneumoniae hvKP1	strain=hvKP1		latest	Contig	Major	Full	2013/02/07	KP1_contigs_1-272	University of Rochester School of Medicine and Dentistry	GCA_000338255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/255/GCF_000338255.1_KP1_contigs_1-272		
GCF_000349265.2	PRJNA224116	SAMN02471470	AOGQ00000000.1	na	1276652	573	Klebsiella pneumoniae ATCC BAA-1705	strain=ATCC BAA-1705		latest	Contig	Minor	Full	2013/03/26	KPBAA1705_01152013	University of North Carolina at Chapel Hill	GCA_000349265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/265/GCF_000349265.2_KPBAA1705_01152013		
GCF_000349285.2	PRJNA224116	SAMN02471909	AOCV00000000.1	na	1263871	573	Klebsiella pneumoniae ATCC BAA-2146	strain=ATCC BAA-2146		latest	Contig	Minor	Full	2013/03/26	G000_12282012	University of North Carolina at Chapel Hill	GCA_000349285.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/285/GCF_000349285.2_G000_12282012		
GCF_000364385.3	PRJNA224116	SAMN02152539		na	573	573	Klebsiella pneumoniae	strain=ATCC BAA-2146		latest	Complete Genome	Major	Full	2016/01/04	ASM36438v3	Sandia National Laboratories	GCA_000364385.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/385/GCF_000364385.3_ASM36438v3		
GCF_000367165.1	PRJNA224116	SAMN02045512	AQOC00000000.1	na	1306950	573	Klebsiella pneumoniae subsp. pneumoniae 12-3578	strain=12-3578		latest	Scaffold	Major	Full	2013/04/17	ASM36716v1	Beijing institution of Radiation Medicine, Beijing, China	GCA_000367165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/165/GCF_000367165.1_ASM36716v1		
GCF_000401195.1	PRJNA224116	SAMN02141978	AQQA00000000.1	na	1284788	573	Klebsiella pneumoniae UHKPC23	strain=UHKPC23		latest	Contig	Major	Full	2013/05/23	gkp2v01	JCVI	GCA_000401195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/401/195/GCF_000401195.1_gkp2v01		
GCF_000406385.1	PRJNA224116	SAMN02141983	AQQD00000000.1	na	1284833	573	Klebsiella pneumoniae KP-7	strain=KP-7		latest	Contig	Major	Full	2013/06/04	gkp47v01	JCVI	GCA_000406385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/385/GCF_000406385.1_gkp47v01		
GCF_000406405.1	PRJNA224116	SAMN02142015	AQOT00000000.1	na	1284787	573	Klebsiella pneumoniae UHKPC40	strain=UHKPC40		latest	Contig	Major	Full	2013/06/04	gkp1v01	JCVI	GCA_000406405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/405/GCF_000406405.1_gkp1v01		
GCF_000406425.1	PRJNA224116	SAMN02141973	APVO00000000.1	na	1284810	573	Klebsiella pneumoniae UHKPC09	strain=UHKPC09		latest	Contig	Major	Full	2013/06/04	gkp24v01	JCVI	GCA_000406425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/425/GCF_000406425.1_gkp24v01		
GCF_000406445.1	PRJNA224116	SAMN02141984	APVP00000000.1	na	1284811	573	Klebsiella pneumoniae UHKPC01	strain=UHKPC01		latest	Contig	Major	Full	2013/06/04	gkp25v01	JCVI	GCA_000406445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/445/GCF_000406445.1_gkp25v01		
GCF_000406465.1	PRJNA224116	SAMN02141968	APVR00000000.1	na	1284813	573	Klebsiella pneumoniae UHKPC27	strain=UHKPC27		latest	Contig	Major	Full	2013/06/04	gkp27v01	JCVI	GCA_000406465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/465/GCF_000406465.1_gkp27v01		
GCF_000406485.1	PRJNA224116	SAMN02141991	APWF00000000.1	na	1304920	573	Klebsiella pneumoniae 361_1301	strain=361_1301		latest	Contig	Major	Full	2013/06/04	gkp53v01	JCVI	GCA_000406485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/485/GCF_000406485.1_gkp53v01		
GCF_000406505.1	PRJNA224116	SAMN02141966	APWE00000000.1	na	1284834	573	Klebsiella pneumoniae KP-11	strain=KP-11		latest	Contig	Major	Full	2013/06/04	gkp48v01	JCVI	GCA_000406505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/505/GCF_000406505.1_gkp48v01		
GCF_000406525.1	PRJNA224116	SAMN02142028	APVQ00000000.1	na	1284812	573	Klebsiella pneumoniae UHKPC81	strain=UHKPC81		latest	Contig	Major	Full	2013/06/04	gkp26v01	JCVI	GCA_000406525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/525/GCF_000406525.1_gkp26v01		
GCF_000406545.1	PRJNA224116	SAMN02142050	APWC00000000.1	na	1284831	573	Klebsiella pneumoniae VAKPC297	strain=VAKPC297		latest	Contig	Major	Full	2013/06/04	gkp45v01	JCVI	GCA_000406545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/545/GCF_000406545.1_gkp45v01		
GCF_000406565.1	PRJNA224116	SAMN02142049	APVZ00000000.1	na	1284828	573	Klebsiella pneumoniae VAKPC280	strain=VAKPC280		latest	Contig	Major	Full	2013/06/04	gkp42v01	JCVI	GCA_000406565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/565/GCF_000406565.1_gkp42v01		
GCF_000406585.1	PRJNA224116	SAMN02142044	APWA00000000.1	na	1284829	573	Klebsiella pneumoniae VAKPC270	strain=VAKPC270		latest	Contig	Major	Full	2013/06/04	gkp43v01	JCVI	GCA_000406585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/585/GCF_000406585.1_gkp43v01		
GCF_000406605.1	PRJNA224116	SAMN02141979	APVS00000000.1	na	1284815	573	Klebsiella pneumoniae UHKPC24	strain=UHKPC24		latest	Contig	Major	Full	2013/06/04	gkp29v01	JCVI	GCA_000406605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/605/GCF_000406605.1_gkp29v01		
GCF_000406625.1	PRJNA224116	SAMN02142047	APWB00000000.1	na	1284830	573	Klebsiella pneumoniae VAKPC276	strain=VAKPC276		latest	Contig	Major	Full	2013/06/04	gkp44v01	JCVI	GCA_000406625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/625/GCF_000406625.1_gkp44v01		
GCF_000406645.1	PRJNA224116	SAMN02142051	APWD00000000.1	na	1284832	573	Klebsiella pneumoniae VAKPC309	strain=VAKPC309		latest	Contig	Major	Full	2013/06/04	gkp46v01	JCVI	GCA_000406645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/645/GCF_000406645.1_gkp46v01		
GCF_000406665.1	PRJNA224116	SAMN02141967	APVT00000000.1	na	1284816	573	Klebsiella pneumoniae UHKPC26	strain=UHKPC26		latest	Contig	Major	Full	2013/06/04	gkp30v01	JCVI	GCA_000406665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/665/GCF_000406665.1_gkp30v01		
GCF_000406685.1	PRJNA224116	SAMN02141977	APVU00000000.1	na	1284820	573	Klebsiella pneumoniae UHKPC22	strain=UHKPC22		latest	Contig	Major	Full	2013/06/04	gkp34v01	JCVI	GCA_000406685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/685/GCF_000406685.1_gkp34v01		
GCF_000406705.1	PRJNA224116	SAMN02141986	APVV00000000.1	na	1284823	573	Klebsiella pneumoniae UHKPC04	strain=UHKPC04		latest	Contig	Major	Full	2013/06/04	gkp37v01	JCVI	GCA_000406705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/705/GCF_000406705.1_gkp37v01		
GCF_000406725.1	PRJNA224116	SAMN02142041	APVW00000000.1	na	1284824	573	Klebsiella pneumoniae VAKPC252	strain=VAKPC252		latest	Contig	Major	Full	2013/06/04	gkp38v01	JCVI	GCA_000406725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/725/GCF_000406725.1_gkp38v01		
GCF_000406745.1	PRJNA224116	SAMN02141992	APWG00000000.1	na	1304921	573	Klebsiella pneumoniae 440_1540	strain=440_1540		latest	Contig	Major	Full	2013/06/04	gkp54v01	JCVI	GCA_000406745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/745/GCF_000406745.1_gkp54v01		
GCF_000406765.2	PRJNA224116	SAMN02141993		na	1304922	573	Klebsiella pneumoniae 500_1420	strain=500_1420		latest	Complete Genome	Major	Full	2015/07/23	ASM40676v2	JCVI	GCA_000406765.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/765/GCF_000406765.2_ASM40676v2		
GCF_000406825.1	PRJNA224116	SAMN02142042	APVX00000000.1	na	1284825	573	Klebsiella pneumoniae VAKPC254	strain=VAKPC254		latest	Contig	Major	Full	2013/06/04	gkp39v01	JCVI	GCA_000406825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/825/GCF_000406825.1_gkp39v01		
GCF_000406845.1	PRJNA224116	SAMN02142043	APVY00000000.1	na	1284826	573	Klebsiella pneumoniae VAKPC269	strain=VAKPC269		latest	Contig	Major	Full	2013/06/04	gkp40v01	JCVI	GCA_000406845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/406/845/GCF_000406845.1_gkp40v01		
